기준_년분기_코드,행정동_코드_명,상권_변화_지표,Prev_상권_변화_지표
20224,가회동,LH,HH
20202,개봉1동,LH,HH
20202,개봉2동,LH,HH
20211,개봉2동,LH,HH
20202,개포1동,LH,HH
20213,개포2동,LH,HH
20212,거여2동,LH,HH
20193,군자동,LL,HL
20204,길음1동,LH,HH
20214,난곡동,LH,HH
20231,난곡동,LH,HH
20231,대방동,LH,HH
20233,대방동,LH,HH
20201,대흥동,LH,HH
20222,대흥동,LH,HH
20201,도림동,LL,HL
20193,독산2동,LL,HL
20201,독산2동,LL,HL
20203,둔촌2동,LL,HL
20212,둔촌2동,LL,HL
20214,둔촌2동,LL,HL
20202,등촌2동,LL,HL
20213,등촌2동,LL,HL
20223,망우본동,LL,HL
20223,면목2동,LL,HL
20233,면목2동,LL,HL
20214,명일1동,LL,HL
20211,명일2동,LH,HH
20214,목3동,LL,HL
20221,무악동,LH,HH
20223,무악동,LH,HH
20214,방화3동,LL,HL
20192,번2동,LL,HL
20211,번2동,LL,HL
20192,번3동,LL,HL
20224,번3동,LL,HL
20201,보광동,LH,HL
20203,보광동,LH,HH
20214,보광동,LL,HL
20211,보문동,LL,HL
20192,불광1동,LH,HH
20212,불광2동,LH,HH
20222,불광2동,LH,HH
20203,사당3동,LL,HL
20192,사당4동,LL,HL
20211,사당4동,LL,HL
20233,삼선동,LL,HH
20214,상계3?4동,LL,HL
20223,상계3?4동,LL,HL
20211,상계6?7동,LL,HL
20211,상계9동,LL,HL
20203,상도3동,LL,HL
20192,상일동,LL,HL
20192,서림동,LL,HL
20211,서빙고동,LH,HH
20213,서빙고동,LH,HH
20192,성북동,LH,HH
20222,송정동,LL,HL
20231,송정동,LL,HL
20211,숭인1동,LH,HH
20222,숭인1동,LH,HH
20214,시흥4동,LL,HL
20194,신길5동,LL,HL
20222,신길6동,LL,HL
20223,신대방2동,LH,HH
20194,신사1동,LL,HL
20202,신월1동,LL,HL
20212,신월1동,LL,HL
20224,신월1동,LL,HL
20232,신월1동,LL,HL
20211,신월2동,LH,HH
20203,신월4동,LL,HL
20192,신월5동,LL,HL
20202,신월6동,LH,HH
20193,신촌동,LL,HL
20214,신촌동,LL,HL
20232,신촌동,LL,HL
20192,암사2동,LL,HL
20204,압구정동,LL,HL
20212,압구정동,LL,HL
20223,압구정동,LL,HL
20211,양재1동,LH,HH
20194,오금동,LL,HL
20211,월곡1동,LL,HL
20192,응봉동,LL,HL
20213,응암1동,LL,HH
20203,이문2동,LH,HH
20224,자양4동,LL,HL
20201,잠실본동,LL,HL
20221,잠실본동,LL,HL
20211,장위1동,LH,HH
20202,장위3동,LH,HH
20224,전농1동,LH,HH
20192,정릉1동,LH,HH
20194,정릉1동,LH,HH
20211,정릉2동,LH,HH
20214,정릉2동,LH,HH
20211,정릉3동,LH,HH
20213,종암동,LH,HH
20231,중곡2동,LL,HL
20202,중곡4동,LH,HH
20192,중화1동,LL,HL
20211,중화1동,LL,HL
20214,중화2동,LL,HL
20223,중화2동,LL,HL
20192,창3동,LL,HL
20194,창3동,LL,HL
20203,창3동,LL,HL
20213,창3동,LL,HL
20221,창3동,LL,HL
20233,창4동,LL,HL
20202,천호3동,LL,HL
20201,하계2동,LH,HH
20214,홍은1동,LH,HH
20223,홍제2동,LH,HH
20202,화곡본동,LL,HL
20202,효창동,LH,HH
20214,휘경1동,LH,HH
20224,흑석동,LH,HH
